Wavelength(micron)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)
10.80	67.02	68.31
10.81	67.12	68.40
10.82	67.23	68.50
10.83	67.33	68.59
10.84	67.43	68.68
10.85	67.53	68.78
10.86	67.63	68.87
10.87	67.73	68.96
10.88	67.83	69.05
10.89	67.93	69.15
10.90	68.03	69.24
10.91	68.14	69.33
10.92	68.24	69.43
10.93	68.34	69.52
10.94	68.44	69.61
10.95	68.54	69.70
10.96	68.64	69.80
10.97	68.74	69.89
10.98	68.84	69.98
10.99	68.94	70.08
11.00	69.05	70.17
11.01	69.14	70.26
11.02	69.21	70.32
11.03	69.28	70.38
11.04	69.34	70.44
11.05	69.41	70.51
11.06	69.48	70.57
11.07	69.55	70.63
11.08	69.61	70.69
11.09	69.68	70.76
11.10	69.75	70.82
11.11	69.82	70.88
11.12	69.88	70.94
11.13	69.95	71.01
11.14	70.02	71.07
11.15	70.09	71.13
11.16	70.15	71.19
11.17	70.22	71.26
11.18	70.29	71.32
11.19	70.36	71.38
11.20	70.42	71.44
11.21	70.50	71.51
11.22	70.58	71.59
11.23	70.67	71.67
11.24	70.75	71.74
11.25	70.83	71.82
11.26	70.91	71.90
11.27	71.00	71.97
11.28	71.08	72.05
11.29	71.16	72.12
11.30	71.25	72.20
11.31	71.33	72.28
11.32	71.41	72.35
11.33	71.49	72.43
11.34	71.58	72.51
11.35	71.66	72.58
11.36	71.74	72.66
11.37	71.83	72.73
11.38	71.91	72.81
11.39	71.99	72.89
11.40	72.07	72.96
11.41	72.16	73.04
11.42	72.24	73.12
11.43	72.30	73.17
11.44	72.35	73.22
11.45	72.39	73.26
11.46	72.44	73.30
11.47	72.49	73.35
11.48	72.54	73.39
11.49	72.58	73.44
11.50	72.63	73.48
11.51	72.68	73.53
11.52	72.73	73.57
11.53	72.77	73.61
11.54	72.82	73.66
11.55	72.87	73.70
11.56	72.92	73.75
11.57	72.97	73.79
11.58	73.01	73.84
11.59	73.06	73.88
11.60	73.11	73.93
11.61	73.16	73.97
11.62	73.20	74.01
11.63	73.25	74.06
11.64	73.30	74.10
11.65	73.35	74.15
11.66	73.39	74.19
11.67	73.45	74.24
11.68	73.50	74.29
11.69	73.56	74.34
11.70	73.61	74.40
