Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Blackbody ppm)
10.39	75.54	75.54
10.40	75.55	75.55
10.41	75.57	75.57
10.42	75.59	75.59
10.43	75.61	75.61
10.44	75.62	75.62
10.45	75.64	75.64
10.46	75.66	75.66
10.47	75.68	75.68
10.48	75.69	75.69
10.49	75.71	75.71
10.50	75.73	75.73
10.51	75.75	75.75
10.52	75.76	75.76
10.53	75.78	75.78
10.54	75.80	75.80
10.55	75.81	75.81
10.56	75.83	75.83
10.57	75.85	75.85
10.58	75.87	75.87
10.59	75.88	75.88
10.60	75.90	75.90
10.61	75.92	75.92
10.62	75.93	75.93
10.63	75.95	75.95
10.64	75.97	75.97
10.65	75.99	75.99
10.66	76.00	76.00
10.67	76.02	76.02
10.68	76.04	76.04
10.69	76.05	76.05
10.70	76.07	76.07
10.71	76.09	76.09
10.72	76.10	76.10
10.73	76.12	76.12
10.74	76.14	76.14
10.75	76.15	76.15
10.76	76.17	76.17
10.77	76.19	76.19
10.78	76.20	76.20
10.79	76.22	76.22
10.80	76.24	76.24
10.81	76.25	76.25
10.82	76.27	76.27
10.83	76.28	76.28
10.84	76.30	76.30
10.85	76.32	76.32
10.86	76.33	76.33
10.87	76.35	76.35
10.88	76.37	76.37
10.89	76.38	76.38
10.90	76.40	76.40
10.91	76.41	76.41
10.92	76.43	76.43
10.93	76.45	76.45
10.94	76.46	76.46
10.95	76.48	76.48
10.96	76.49	76.49
10.97	76.51	76.51
10.98	76.53	76.53
10.99	76.54	76.54
11.00	76.56	76.56
11.01	76.57	76.57
11.02	76.59	76.59
11.03	76.61	76.61
11.04	76.62	76.62
11.05	76.64	76.64
11.06	76.65	76.65
11.07	76.67	76.67
11.08	76.68	76.68
11.09	76.70	76.70
11.10	76.72	76.72
11.11	76.73	76.73
11.12	76.75	76.75
11.13	76.76	76.76
11.14	76.78	76.78
11.15	76.79	76.79
11.16	76.81	76.81
11.17	76.82	76.82
11.18	76.84	76.84
11.19	76.86	76.86
11.20	76.87	76.87
11.21	76.89	76.89
11.22	76.90	76.90
11.23	76.92	76.92
11.24	76.93	76.93
11.25	76.95	76.95
11.26	76.96	76.96
11.27	76.98	76.98
11.28	76.99	76.99
11.29	77.01	77.01
11.30	77.02	77.02
11.31	77.04	77.04
11.32	77.05	77.05
11.33	77.07	77.07
11.34	77.08	77.08
11.35	77.10	77.10
11.36	77.11	77.11
11.37	77.13	77.13
11.38	77.14	77.14
11.39	77.16	77.16
11.40	77.17	77.17
11.41	77.19	77.19
11.42	77.20	77.20
11.43	77.22	77.22
11.44	77.23	77.23
11.45	77.25	77.25
11.46	77.26	77.26
11.47	77.28	77.28
11.48	77.29	77.29
11.49	77.30	77.30
11.50	77.32	77.32
11.51	77.33	77.33
11.52	77.35	77.35
11.53	77.36	77.36
11.54	77.38	77.38
11.55	77.39	77.39
11.56	77.41	77.41
11.57	77.42	77.42
11.58	77.44	77.44
11.59	77.45	77.45
11.60	77.46	77.46
11.61	77.48	77.48
11.62	77.49	77.49
11.63	77.51	77.51
11.64	77.52	77.52
11.65	77.54	77.54
11.66	77.55	77.55
11.67	77.56	77.56
11.68	77.58	77.58
11.69	77.59	77.59
