Wavelength(micron)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)
9.08	68.39	68.83
9.09	68.40	68.84
9.10	68.40	68.84
9.11	68.40	68.85
9.12	68.41	68.85
9.13	68.41	68.86
9.14	68.41	68.86
9.15	68.42	68.87
9.16	68.42	68.87
9.17	68.42	68.88
9.18	67.36	67.93
9.19	66.73	67.37
9.20	66.70	67.35
9.21	66.68	67.32
9.22	66.65	67.30
9.23	66.62	67.28
9.24	66.59	67.25
9.25	66.57	67.23
9.26	66.54	67.21
9.27	66.51	67.19
9.28	66.48	67.16
9.29	66.45	67.14
9.30	66.42	67.12
9.31	66.40	67.09
9.32	66.37	67.07
9.33	66.34	67.05
9.34	66.31	67.02
9.35	66.28	67.00
9.36	66.25	66.97
9.37	66.22	66.95
9.38	66.19	66.93
9.39	66.17	66.90
9.40	66.14	66.88
9.41	66.11	66.85
9.42	66.08	66.83
9.43	66.05	66.81
9.44	66.02	66.78
9.45	65.99	66.76
9.46	65.96	66.73
9.47	65.93	66.71
9.48	65.90	66.68
9.49	65.87	66.66
9.50	65.84	66.63
9.51	65.81	66.61
9.52	65.78	66.58
9.53	65.75	66.56
9.54	65.72	66.53
9.55	65.69	66.51
9.56	65.66	66.48
9.57	65.63	66.46
9.58	65.60	66.43
9.59	65.57	66.41
9.60	65.54	66.38
9.61	65.51	66.36
9.62	65.48	66.33
9.63	65.46	66.32
9.64	65.46	66.32
9.65	65.45	66.31
9.66	65.45	66.31
9.67	65.44	66.31
9.68	65.44	66.30
9.69	65.43	66.30
9.70	65.43	66.30
9.71	65.42	66.30
9.72	65.42	66.29
9.73	65.41	66.29
9.74	65.40	66.29
9.75	65.40	66.28
9.76	65.39	66.28
9.77	65.39	66.27
9.78	65.38	66.27
9.79	65.37	66.27
9.80	65.37	66.26
9.81	65.36	66.26
9.82	65.36	66.26
9.83	65.35	66.25
9.84	65.34	66.25
9.85	65.34	66.25
9.86	65.33	66.24
9.87	65.32	66.24
9.88	65.32	66.23
9.89	65.31	66.23
9.90	65.30	66.22
9.91	65.30	66.22
9.92	65.29	66.22
9.93	65.29	66.21
9.94	65.28	66.21
9.95	65.27	66.20
9.96	65.26	66.20
9.97	65.26	66.19
9.98	65.25	66.19
9.99	65.24	66.19
10.00	65.24	66.18
10.01	65.23	66.18
10.02	65.22	66.17
10.03	65.22	66.17
10.04	65.21	66.16
10.05	65.20	66.16
10.06	65.19	66.15
10.07	65.19	66.15
10.08	65.18	66.14
10.09	65.17	66.14
10.10	65.17	66.13
10.11	65.16	66.13
10.12	65.15	66.12
10.13	65.14	66.12
10.14	65.14	66.11
10.15	65.13	66.11
10.16	65.12	66.10
10.17	65.11	66.10
10.18	65.10	66.09
10.19	65.10	66.09
10.20	65.09	66.08
10.21	65.08	66.08
10.22	65.07	66.07
10.23	65.07	66.06
10.24	65.06	66.06
10.25	65.06	66.07
10.26	65.09	66.09
10.27	65.12	66.12
10.28	65.16	66.15
10.29	65.19	66.18
10.30	65.22	66.21
10.31	65.25	66.24
10.32	65.28	66.27
10.33	65.31	66.30
10.34	65.34	66.33
10.35	65.37	66.36
10.36	65.40	66.39
10.37	65.43	66.42
10.38	65.46	66.44
10.39	65.49	66.47
10.40	65.52	66.50
10.41	65.55	66.53
10.42	65.58	66.56
10.43	65.61	66.59
10.44	65.64	66.62
10.45	65.67	66.65
10.46	65.70	66.68
10.47	65.74	66.70
10.48	65.77	66.73
10.49	65.80	66.76
10.50	65.83	66.79
10.51	65.86	66.82
10.52	65.89	66.85
10.53	65.92	66.88
10.54	65.95	66.91
10.55	65.98	66.93
10.56	66.01	66.96
10.57	66.04	66.99
10.58	66.07	67.02
10.59	66.10	67.05
10.60	66.13	67.08
10.61	66.16	67.11
10.62	66.19	67.13
10.63	66.22	67.16
10.64	66.25	67.19
10.65	66.28	67.22
10.66	66.31	67.25
10.67	66.34	67.28
10.68	66.37	67.30
10.69	66.40	67.33
10.70	66.43	67.36
10.71	66.46	67.39
10.72	66.49	67.42
10.73	66.52	67.45
10.74	66.55	67.47
10.75	66.58	67.50
10.76	66.61	67.53
10.77	66.64	67.56
10.78	66.67	67.59
10.79	66.70	67.62
10.80	66.73	67.64
10.81	66.75	67.67
10.82	66.78	67.70
10.83	66.81	67.73
10.84	66.84	67.76
10.85	66.87	67.78
10.86	66.90	67.81
10.87	66.93	67.84
10.88	66.96	67.87
10.89	66.99	67.90
10.90	67.02	67.92
10.91	67.05	67.95
10.92	67.08	67.98
10.93	67.11	68.01
10.94	67.14	68.04
10.95	67.17	68.06
10.96	67.20	68.09
10.97	67.23	68.12
10.98	67.26	68.15
10.99	67.29	68.18
11.00	67.32	68.21
11.01	67.35	68.23
11.02	67.38	68.26
11.03	67.41	68.29
11.04	67.44	68.32
11.05	67.47	68.35
11.06	67.50	68.38
11.07	67.53	68.40
11.08	67.56	68.43
11.09	67.59	68.46
11.10	67.62	68.49
11.11	67.65	68.52
11.12	67.68	68.54
11.13	67.71	68.57
11.14	67.74	68.60
11.15	67.76	68.63
11.16	67.79	68.66
11.17	67.82	68.68
11.18	67.85	68.71
11.19	67.88	68.74
11.20	67.91	68.77
11.21	67.94	68.80
11.22	67.97	68.82
11.23	68.00	68.85
11.24	68.03	68.88
11.25	68.06	68.91
11.26	68.09	68.94
11.27	68.12	68.96
11.28	68.15	68.99
11.29	68.18	69.02
11.30	68.21	69.05
11.31	68.24	69.07
11.32	68.27	69.10
11.33	68.30	69.13
11.34	68.32	69.16
11.35	68.35	69.19
11.36	68.38	69.21
11.37	68.41	69.24
11.38	68.44	69.27
11.39	68.47	69.30
11.40	68.50	69.32
11.41	68.53	69.35
11.42	68.56	69.38
11.43	68.59	69.41
11.44	68.62	69.43
11.45	68.65	69.46
11.46	68.68	69.49
11.47	68.70	69.52
11.48	68.73	69.54
11.49	68.76	69.57
11.50	68.79	69.60
11.51	68.82	69.63
11.52	68.85	69.65
11.53	68.88	69.68
11.54	68.91	69.71
11.55	68.94	69.74
11.56	68.97	69.76
11.57	68.99	69.79
11.58	69.04	69.83
11.59	69.08	69.87
11.60	69.12	69.91
11.61	69.16	69.94
11.62	69.20	69.98
11.63	69.24	70.02
11.64	69.28	70.06
11.65	69.32	70.10
11.66	69.36	70.13
11.67	69.40	70.17
11.68	69.44	70.21
11.69	69.48	70.25
